block,time_min_ps,time_max_ps,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,water_frame_observations,mean_instantaneous_water_count,water_number_density_A-3,water_mass_density_g_cm-3,mean_tetrahedral_q,mean_HB_degree,fraction_degree_eq4,mean_P1_cos_theta,mean_P2
1,0.0,10.0,1,0.0,2.0,14897,14.897,0.044413754226143146,1.3286408440495372,0.701357631122759,3.2135329260925016,0.4134389474390817,0.08746041467796534,-0.05439929661686224
1,0.0,10.0,2,2.0,4.0,11207,11.207,0.03341242824812957,0.9995353386093283,0.8465378966586068,3.7497992326224683,0.6730614794324975,-0.09543043309407637,0.17833576777458357
1,0.0,10.0,3,4.0,6.0,9121,9.121,0.02719325047302488,0.8134881612791721,0.8502813613670348,3.7287578116434603,0.7571538208529767,0.01898267581308345,-0.06039162243476756
1,0.0,10.0,4,6.0,8.0,13007,13.007,0.03877892872520936,1.1600746095557715,0.7596515059803874,3.358806796340432,0.5252556315829938,-0.07380830937307409,0.07567356482913733
1,0.0,10.0,5,8.0,10.0,9001,9.001,0.02683548377455289,0.8027855432160759,0.8635853383005794,3.7721364292856348,0.7900233307410288,-0.03036736488414726,-0.007816401517169953
1,0.0,10.0,6,10.0,12.0,13621,13.621,0.04060950166572436,1.2148363386452805,0.8630512611015763,3.6857793113574626,0.7218265912928566,-0.009831907589120545,0.06734648456735344
1,0.0,10.0,7,12.0,14.0,8586,8.586,0.02559820727567061,0.7657723224145349,0.8169338374562792,3.539249941765665,0.6041229909154437,0.12002497288498394,-0.06790767280409499
1,0.0,10.0,8,14.0,16.0,10609,10.609,0.03162955753407751,0.9462006252615653,0.7456005725146461,3.3411254595155055,0.46818738806673577,-0.0755229096556612,-0.08814734396355085
1,0.0,10.0,9,16.0,18.0,8494,8.494,0.02532391947350875,0.7575669818994943,0.8157328208352849,3.496821285613374,0.6000706380974806,0.23143268530938038,0.17849581015059537
1,0.0,10.0,10,18.0,20.0,14428,14.428,0.043015482712948465,1.2868114451196027,0.875266245979759,3.7468810645966175,0.7694760188522318,0.01671701131961997,0.09712371895320313
1,0.0,10.0,11,20.0,22.0,7044,7.044,0.021000905200305585,0.6282436803037483,0.7824079743263985,3.459114139693356,0.5636002271436684,0.08414465542163158,-0.22872279457175818
