block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
1,1,0.0,2.0,2,-0.029419424949447066,0.8686055848467404
1,2,2.0,4.0,2,-0.04376649643461569,0.8826981172630175
1,3,4.0,6.0,12,-0.23445099296341862,0.7623225734452231
1,4,6.0,8.0,13,-0.06789270198739752,0.7312821734664509
1,5,8.0,10.0,6,-0.01843940523589871,0.7830492146917231
1,6,10.0,12.0,13,0.022617803403387787,0.760821004892918
1,7,12.0,14.0,10,-0.1755423864321579,0.7571861424608964
1,8,14.0,16.0,12,0.0460491368646567,0.7549026508152561
1,9,16.0,18.0,11,-0.12202601362859504,0.7273836094257397
1,10,18.0,20.0,11,0.06346802983641547,0.7605198399254418
1,11,20.0,22.0,8,-0.02757365811749355,0.7751563055365601
1,12,22.0,24.0,13,0.10865600366054923,0.7293690362116263
1,13,24.0,26.0,9,0.09796128921873495,0.7547271432066154
1,14,26.0,28.0,11,0.052807946940254376,0.7347549700843329
1,15,28.0,30.0,12,-0.05320614637849225,0.7259214146241064
1,16,30.0,32.0,9,-0.053199097714443803,0.8045021455985857
1,17,32.0,34.0,11,0.017927073954614164,0.7903966645732119
1,18,34.0,36.0,9,-0.07203489602576146,0.793718452471859
1,19,36.0,38.0,10,-0.17716761610762122,0.75935717932084
1,20,38.0,40.0,14,-0.1848609666000388,0.7100698547987909
1,21,40.0,42.0,2,0.15231720508809068,0.884937427007503
2,1,0.0,2.0,2,-0.1007425447281215,0.8219205228657087
2,2,2.0,4.0,2,0.008939653614175072,0.8584647899206981
2,3,4.0,6.0,12,-0.11691096106345376,0.749629112385737
2,4,6.0,8.0,13,-0.21786323033749666,0.7355715867023493
2,5,8.0,10.0,6,0.043038632371696806,0.7769370357002807
2,6,10.0,12.0,13,-0.20973919502746166,0.7453597251500489
2,7,12.0,14.0,10,-0.19824451638202548,0.7353970441652753
2,8,14.0,16.0,12,-0.26794402471799705,0.7518746313074882
2,9,16.0,18.0,11,-0.1836294844163134,0.735210703266701
2,10,18.0,20.0,11,-0.2597841738326215,0.724146003114209
2,11,20.0,22.0,8,-0.19861674499998644,0.7757892291044347
2,12,22.0,24.0,13,-0.10017156455038746,0.7370884842271467
2,13,24.0,26.0,9,-0.0808788055415033,0.7559044667962397
2,14,26.0,28.0,11,-0.1191959223527891,0.7680477411682018
2,15,28.0,30.0,12,-0.025807879337225243,0.7405695774857567
2,16,30.0,32.0,9,-0.051846065371905926,0.7451597959967471
2,17,32.0,34.0,11,-0.006307092064357362,0.7927453050144256
2,18,34.0,36.0,9,-0.07188830116957205,0.764558102183948
2,19,36.0,38.0,10,-0.11074823026985664,0.7109398559256793
2,20,38.0,40.0,14,-0.38001489635142754,0.7101071770794906
2,21,40.0,42.0,2,0.127897412074073,0.8722585939888833
3,1,0.0,2.0,2,-0.07317138217854174,0.8279655548787668
3,2,2.0,4.0,2,-0.10390601464850947,0.8639610636763573
