layer_index,z_min_A,z_max_A,wavenumber_cm-1_shifted_plus80,VDOS_area_normalized_mean_unsmoothed,VDOS_SEM_50_blocks
4,16,20,1281.189064,7.190380529e-05,6.288108725e-06
4,16,20,1283.224977,7.226785909e-05,4.666508072e-06
4,16,20,1285.260891,7.407592594e-05,4.944374599e-06
4,16,20,1287.296805,7.481404583e-05,5.117781994e-06
4,16,20,1289.332718,6.926639938e-05,4.526057053e-06
4,16,20,1291.368632,6.219754184e-05,3.942921096e-06
4,16,20,1293.404546,6.261009669e-05,4.200346816e-06
4,16,20,1295.440459,6.933031636e-05,5.231332151e-06
4,16,20,1297.476373,7.213357303e-05,5.864772232e-06
4,16,20,1299.512287,6.726996994e-05,4.947084489e-06
4,16,20,1301.548200,6.220684418e-05,4.191127826e-06
4,16,20,1303.584114,6.208555352e-05,4.37453851e-06
4,16,20,1305.620028,6.292277682e-05,4.440639629e-06
4,16,20,1307.655941,6.144838123e-05,4.069852513e-06
4,16,20,1309.691855,6.023307861e-05,4.459632424e-06
4,16,20,1311.727769,5.970222286e-05,4.232165203e-06
4,16,20,1313.763682,5.861893171e-05,3.60275159e-06
4,16,20,1315.799596,5.821793674e-05,3.447518101e-06
4,16,20,1317.835510,5.939040076e-05,3.805398945e-06
4,16,20,1319.871423,6.061436175e-05,3.813262826e-06
4,16,20,1321.907337,5.926213674e-05,3.670637805e-06
4,16,20,1323.943251,5.556871624e-05,3.800919198e-06
4,16,20,1325.979164,5.263592038e-05,3.461033645e-06
4,16,20,1328.015078,5.101280182e-05,2.952329722e-06
4,16,20,1330.050992,4.961251774e-05,2.565920618e-06
4,16,20,1332.086905,4.970042026e-05,2.634694432e-06
4,16,20,1334.122819,5.14755017e-05,2.758319874e-06
4,16,20,1336.158733,5.310123955e-05,2.708701815e-06
4,16,20,1338.194646,5.361510207e-05,2.568837787e-06
4,16,20,1340.230560,5.369888427e-05,2.801358528e-06
4,16,20,1342.266474,5.34686049e-05,3.239688507e-06
4,16,20,1344.302387,5.249410981e-05,3.305038687e-06
4,16,20,1346.338301,5.113490767e-05,3.073055845e-06
4,16,20,1348.374215,4.906201237e-05,2.605891941e-06
4,16,20,1350.410128,4.689982099e-05,2.509594512e-06
4,16,20,1352.446042,4.617245552e-05,2.588560333e-06
4,16,20,1354.481956,4.761802271e-05,2.573381283e-06
4,16,20,1356.517869,5.023682836e-05,2.626613257e-06
4,16,20,1358.553783,5.122304275e-05,2.334489739e-06
4,16,20,1360.589697,5.097079026e-05,2.840817851e-06
4,16,20,1362.625610,5.043573545e-05,3.383245011e-06
4,16,20,1364.661524,4.953238054e-05,3.498200867e-06
4,16,20,1366.697438,4.954357805e-05,3.653224915e-06
4,16,20,1368.733351,4.889138201e-05,3.21708874e-06
4,16,20,1370.769265,4.623466088e-05,2.37434126e-06
4,16,20,1372.805179,4.443544547e-05,1.74242561e-06
4,16,20,1374.841092,4.576870786e-05,1.908663672e-06
4,16,20,1376.877006,4.799922279e-05,2.482477843e-06
4,16,20,1378.912920,4.982393415e-05,3.559069723e-06
4,16,20,1380.948833,5.245741024e-05,4.076711815e-06
4,16,20,1382.984747,5.486800504e-05,3.928799609e-06
4,16,20,1385.020661,5.535608811e-05,3.473882378e-06
4,16,20,1387.056574,5.332492579e-05,2.792334239e-06
4,16,20,1389.092488,5.061985083e-05,2.526170646e-06
4,16,20,1391.128402,4.977554355e-05,2.949850756e-06
4,16,20,1393.164315,5.032963311e-05,3.157817993e-06
4,16,20,1395.200229,5.1274765e-05,3.070679764e-06
4,16,20,1397.236143,5.201257693e-05,2.717736811e-06
4,16,20,1399.272056,5.272841162e-05,2.484273975e-06
4,16,20,1401.307970,5.353561639e-05,2.482713411e-06
4,16,20,1403.343884,5.383122224e-05,2.423366091e-06
4,16,20,1405.379797,5.447178467e-05,2.641048486e-06
4,16,20,1407.415711,5.532022632e-05,3.226509373e-06
4,16,20,1409.451625,5.499606159e-05,3.434627681e-06
4,16,20,1411.487538,5.359363628e-05,3.39891484e-06
4,16,20,1413.523452,5.145464259e-05,3.554406193e-06
4,16,20,1415.559366,4.944780507e-05,3.064126701e-06
4,16,20,1417.595279,4.879664993e-05,2.23056877e-06
4,16,20,1419.631193,4.911422216e-05,2.377467592e-06
4,16,20,1421.667107,4.947447933e-05,2.628718474e-06
4,16,20,1423.703020,4.895145387e-05,2.507176999e-06
4,16,20,1425.738934,4.894539628e-05,2.93109951e-06
4,16,20,1427.774848,4.968321334e-05,3.106862095e-06
4,16,20,1429.810761,4.841914364e-05,3.166325726e-06
4,16,20,1431.846675,4.790673961e-05,3.037502012e-06
4,16,20,1433.882589,5.042731596e-05,2.86408461e-06
4,16,20,1435.918502,5.199091811e-05,2.878340279e-06
4,16,20,1437.954416,5.058773452e-05,2.882365991e-06
4,16,20,1439.990330,4.943001815e-05,3.180922094e-06
4,16,20,1442.026243,5.179880373e-05,3.670984202e-06
4,16,20,1444.062157,5.47829923e-05,3.760346786e-06
4,16,20,1446.098071,5.435043996e-05,3.553390624e-06
4,16,20,1448.133984,5.227241166e-05,3.456541689e-06
4,16,20,1450.169898,5.202858868e-05,3.686219868e-06
4,16,20,1452.205812,5.319783393e-05,3.792080978e-06
4,16,20,1454.241725,5.383178094e-05,3.690203697e-06
4,16,20,1456.277639,5.373017921e-05,3.665222748e-06
4,16,20,1458.313553,5.251773218e-05,3.543265464e-06
4,16,20,1460.349466,5.058464158e-05,3.445614372e-06
