layer,depth_min_A,depth_max_A,n_waters,plotted_wavenumber_cm-1,calculated_wavenumber_cm-1,normalized_VDOS
1,0.0,4.0,22,1200.2614952562449,1120.2614952562449,0.06348200641298295
1,0.0,4.0,22,1200.77047367299,1120.77047367299,0.06277613202035011
1,0.0,4.0,22,1201.2794520897353,1121.2794520897353,0.06206254024746884
1,0.0,4.0,22,1201.7884305064804,1121.7884305064804,0.06138978538288793
1,0.0,4.0,22,1202.2974089232257,1122.2974089232257,0.06079776852723824
1,0.0,4.0,22,1202.806387339971,1122.806387339971,0.060311243016408896
1,0.0,4.0,22,1203.3153657567161,1123.3153657567161,0.05993695316874113
1,0.0,4.0,22,1203.8243441734614,1123.8243441734614,0.05966485171913325
1,0.0,4.0,22,1204.3333225902065,1124.3333225902065,0.05947266161116261
1,0.0,4.0,22,1204.8423010069519,1124.8423010069519,0.05933217789188232
1,0.0,4.0,22,1205.3512794236972,1125.3512794236972,0.05921541478816571
1,0.0,4.0,22,1205.8602578404423,1125.8602578404423,0.05909904115247715
1,0.0,4.0,22,1206.3692362571876,1126.3692362571876,0.05896633845015501
1,0.0,4.0,22,1206.8782146739327,1126.8782146739327,0.05880683850405174
1,0.0,4.0,22,1207.387193090678,1127.387193090678,0.058614517541876104
1,0.0,4.0,22,1207.896171507423,1127.896171507423,0.058385713186625984
1,0.0,4.0,22,1208.4051499241684,1128.4051499241684,0.05811774866352168
1,0.0,4.0,22,1208.9141283409137,1128.9141283409137,0.05780872851445572
1,0.0,4.0,22,1209.4231067576588,1129.4231067576588,0.057458354493381256
1,0.0,4.0,22,1209.9320851744042,1129.9320851744042,0.05706914544759006
1,0.0,4.0,22,1210.4410635911493,1130.4410635911493,0.05664729029123105
1,0.0,4.0,22,1210.9500420078946,1130.9500420078946,0.05620254395943596
1,0.0,4.0,22,1211.45902042464,1131.45902042464,0.055746991743689044
1,0.0,4.0,22,1211.967998841385,1131.967998841385,0.0552929825010629
1,0.0,4.0,22,1212.4769772581303,1132.4769772581303,0.05485088615590468
1,0.0,4.0,22,1212.9859556748754,1132.9859556748754,0.05442744239263767
1,0.0,4.0,22,1213.4949340916207,1133.4949340916207,0.05402530275547504
1,0.0,4.0,22,1214.0039125083658,1134.0039125083658,0.05364398700123469
1,0.0,4.0,22,1214.5128909251112,1134.5128909251112,0.05328200265600934
1,0.0,4.0,22,1215.0218693418565,1135.0218693418565,0.052939465700514145
1,0.0,4.0,22,1215.5308477586016,1135.5308477586016,0.0526203417710047
1,0.0,4.0,22,1216.039826175347,1136.039826175347,0.052333475429131866
1,0.0,4.0,22,1216.548804592092,1136.548804592092,0.052091885129627154
1,0.0,4.0,22,1217.0577830088373,1137.0577830088373,0.05191028975980462
1,0.0,4.0,22,1217.5667614255826,1137.5667614255826,0.051801359344103334
1,0.0,4.0,22,1218.0757398423277,1138.0757398423277,0.05177159301189428
1,0.0,4.0,22,1218.584718259073,1138.584718259073,0.05181789936400518
1,0.0,4.0,22,1219.0936966758181,1139.0936966758181,0.051925836534130736
1,0.0,4.0,22,1219.6026750925635,1139.6026750925635,0.052070096392745714
1,0.0,4.0,22,1220.1116535093086,1140.1116535093086,0.052217296861777375
1,0.0,4.0,22,1220.6206319260539,1140.6206319260539,0.05233062029110037
1,0.0,4.0,22,1221.1296103427992,1141.1296103427992,0.05237543437345119
1,0.0,4.0,22,1221.6385887595443,1141.6385887595443,0.05232483610264068
1,0.0,4.0,22,1222.1475671762896,1142.1475671762896,0.052164086549027204
1,0.0,4.0,22,1222.6565455930347,1142.6565455930347,0.05189312010008547
1,0.0,4.0,22,1223.16552400978,1143.16552400978,0.051526655139002356
1,0.0,4.0,22,1223.6745024265254,1143.6745024265254,0.05109184116669742
1,0.0,4.0,22,1224.1834808432704,1144.1834808432704,0.05062379697785051
1,0.0,4.0,22,1224.6924592600158,1144.6924592600158,0.05015977725224047
1,0.0,4.0,22,1225.2014376767609,1145.2014376767609,0.04973299528197598
1,0.0,4.0,22,1225.7104160935062,1145.7104160935062,0.04936726092726865
1,0.0,4.0,22,1226.2193945102513,1146.2193945102513,0.04907350206333329
1,0.0,4.0,22,1226.7283729269966,1146.7283729269966,0.04884889598381801
1,0.0,4.0,22,1227.237351343742,1147.237351343742,0.048678782734240256
1,0.0,4.0,22,1227.746329760487,1147.746329760487,0.04854088337486635
1,0.0,4.0,22,1228.2553081772323,1148.2553081772323,0.04841077894041442
1,0.0,4.0,22,1228.7642865939774,1148.7642865939774,0.04826729911928673
1,0.0,4.0,22,1229.2732650107228,1149.2732650107228,0.04809653561523489
1,0.0,4.0,22,1229.782243427468,1149.782243427468,0.04789362747532658
1,0.0,4.0,22,1230.2912218442132,1150.2912218442132,0.04766213127423784
1,0.0,4.0,22,1230.8002002609585,1150.8002002609585,0.04741147167481731
1,0.0,4.0,22,1231.3091786777036,1151.3091786777036,0.04715344789238765
1,0.0,4.0,22,1231.818157094449,1151.818157094449,0.04689890841349865
