system,r_A,pair,ML_g,ML_sem,DFT_validation_g,DFT_validation_sem,ML_minus_DFT_validation
Youshui,0.00500,O-H,0,0,0,0,0
Youshui,0.00500,O-O,0,0,0,0,0
Youshui,0.01500,O-H,0,0,0,0,0
Youshui,0.01500,O-O,0,0,0,0,0
Youshui,0.02500,O-H,0,0,0,0,0
Youshui,0.02500,O-O,0,0,0,0,0
Youshui,0.03500,O-H,0,0,0,0,0
Youshui,0.03500,O-O,0,0,0,0,0
Youshui,0.04500,O-H,0,0,0,0,0
Youshui,0.04500,O-O,0,0,0,0,0
Youshui,0.05500,O-H,0,0,0,0,0
Youshui,0.05500,O-O,0,0,0,0,0
Youshui,0.06500,O-H,0,0,0,0,0
Youshui,0.06500,O-O,0,0,0,0,0
Youshui,0.07500,O-H,0,0,0,0,0
Youshui,0.07500,O-O,0,0,0,0,0
Youshui,0.08500,O-H,0,0,0,0,0
Youshui,0.08500,O-O,0,0,0,0,0
Youshui,0.09500,O-H,0,0,0,0,0
Youshui,0.09500,O-O,0,0,0,0,0
Youshui,0.10500,O-H,0,0,0,0,0
Youshui,0.10500,O-O,0,0,0,0,0
Youshui,0.11500,O-H,0,0,0,0,0
Youshui,0.11500,O-O,0,0,0,0,0
Youshui,0.12500,O-H,0,0,0,0,0
Youshui,0.12500,O-O,0,0,0,0,0
Youshui,0.13500,O-H,0,0,0,0,0
Youshui,0.13500,O-O,0,0,0,0,0
Youshui,0.14500,O-H,0,0,0,0,0
Youshui,0.14500,O-O,0,0,0,0,0
Youshui,0.15500,O-H,0,0,0,0,0
Youshui,0.15500,O-O,0,0,0,0,0
Youshui,0.16500,O-H,0,0,0,0,0
Youshui,0.16500,O-O,0,0,0,0,0
Youshui,0.17500,O-H,0,0,0,0,0
Youshui,0.17500,O-O,0,0,0,0,0
Youshui,0.18500,O-H,0,0,0,0,0
Youshui,0.18500,O-O,0,0,0,0,0
Youshui,0.19500,O-H,0,0,0,0,0
Youshui,0.19500,O-O,0,0,0,0,0
Youshui,0.20500,O-H,0,0,0,0,0
Youshui,0.20500,O-O,0,0,0,0,0
Youshui,0.21500,O-H,0,0,0,0,0
Youshui,0.21500,O-O,0,0,0,0,0
Youshui,0.22500,O-H,0,0,0,0,0
Youshui,0.22500,O-O,0,0,0,0,0
Youshui,0.23500,O-H,0,0,0,0,0
Youshui,0.23500,O-O,0,0,0,0,0
Youshui,0.24500,O-H,0,0,0,0,0
Youshui,0.24500,O-O,0,0,0,0,0
Youshui,0.25500,O-H,0,0,0,0,0
Youshui,0.25500,O-O,0,0,0,0,0
Youshui,0.26500,O-H,0,0,0,0,0
Youshui,0.26500,O-O,0,0,0,0,0
Youshui,0.27500,O-H,0,0,0,0,0
Youshui,0.27500,O-O,0,0,0,0,0
Youshui,0.28500,O-H,0,0,0,0,0
Youshui,0.28500,O-O,0,0,0,0,0
Youshui,0.29500,O-H,0,0,0,0,0
Youshui,0.29500,O-O,0,0,0,0,0
Youshui,0.30500,O-H,0,0,0,0,0
Youshui,0.30500,O-O,0,0,0,0,0
Youshui,0.31500,O-H,0,0,0,0,0
Youshui,0.31500,O-O,0,0,0,0,0
Youshui,0.32500,O-H,0,0,0,0,0
Youshui,0.32500,O-O,0,0,0,0,0
Youshui,0.33500,O-H,0,0,0,0,0
Youshui,0.33500,O-O,0,0,0,0,0
Youshui,0.34500,O-H,0,0,0,0,0
Youshui,0.34500,O-O,0,0,0,0,0
Youshui,0.35500,O-H,0,0,0,0,0
Youshui,0.35500,O-O,0,0,0,0,0
Youshui,0.36500,O-H,0,0,0,0,0
Youshui,0.36500,O-O,0,0,0,0,0
Youshui,0.37500,O-H,0,0,0,0,0
Youshui,0.37500,O-O,0,0,0,0,0
Youshui,0.38500,O-H,0,0,0,0,0
Youshui,0.38500,O-O,0,0,0,0,0
Youshui,0.39500,O-H,0,0,0,0,0
Youshui,0.39500,O-O,0,0,0,0,0
Youshui,0.40500,O-H,0,0,0,0,0
Youshui,0.40500,O-O,0,0,0,0,0
Youshui,0.41500,O-H,0,0,0,0,0
Youshui,0.41500,O-O,0,0,0,0,0
Youshui,0.42500,O-H,0,0,0,0,0
Youshui,0.42500,O-O,0,0,0,0,0
Youshui,0.43500,O-H,0,0,0,0,0
Youshui,0.43500,O-O,0,0,0,0,0
Youshui,0.44500,O-H,0,0,0,0,0
Youshui,0.44500,O-O,0,0,0,0,0
Youshui,0.45500,O-H,0,0,0,0,0
Youshui,0.45500,O-O,0,0,0,0,0
Youshui,0.46500,O-H,0,0,0,0,0
Youshui,0.46500,O-O,0,0,0,0,0
Youshui,0.47500,O-H,0,0,0,0,0
Youshui,0.47500,O-O,0,0,0,0,0
Youshui,0.48500,O-H,0,0,0,0,0
Youshui,0.48500,O-O,0,0,0,0,0
Youshui,0.49500,O-H,0,0,0,0,0
Youshui,0.49500,O-O,0,0,0,0,0
Youshui,0.50500,O-H,0,0,0,0,0
Youshui,0.50500,O-O,0,0,0,0,0
Youshui,0.51500,O-H,0,0,0,0,0
Youshui,0.51500,O-O,0,0,0,0,0
Youshui,0.52500,O-H,0,0,0,0,0
Youshui,0.52500,O-O,0,0,0,0,0
Youshui,0.53500,O-H,0,0,0,0,0
Youshui,0.53500,O-O,0,0,0,0,0
Youshui,0.54500,O-H,0,0,0,0,0
Youshui,0.54500,O-O,0,0,0,0,0
Youshui,0.55500,O-H,0,0,0,0,0
Youshui,0.55500,O-O,0,0,0,0,0
Youshui,0.56500,O-H,0,0,0,0,0
Youshui,0.56500,O-O,0,0,0,0,0
Youshui,0.57500,O-H,0,0,0,0,0
Youshui,0.57500,O-O,0,0,0,0,0
Youshui,0.58500,O-H,0,0,0,0,0
Youshui,0.58500,O-O,0,0,0,0,0
Youshui,0.59500,O-H,0,0,0,0,0
Youshui,0.59500,O-O,0,0,0,0,0
Youshui,0.60500,O-H,0,0,0,0,0
Youshui,0.60500,O-O,0,0,0,0,0
Youshui,0.61500,O-H,0,0,0,0,0
Youshui,0.61500,O-O,0,0,0,0,0
Youshui,0.62500,O-H,0,0,0,0,0
Youshui,0.62500,O-O,0,0,0,0,0
Youshui,0.63500,O-H,0,0,0,0,0
Youshui,0.63500,O-O,0,0,0,0,0
Youshui,0.64500,O-H,0,0,0,0,0
