r_A,pair,ML_g,ML_sem,AIMD_g,AIMD_sem,difference_ML_minus_AIMD
0.00500,Si-O,0,0,0,0,0
0.00500,O-O,0,0,0,0,0
0.00500,O-H,0,0,0,0,0
0.01500,Si-O,0,0,0,0,0
0.01500,O-O,0,0,0,0,0
0.01500,O-H,0,0,0,0,0
0.02500,Si-O,0,0,0,0,0
0.02500,O-O,0,0,0,0,0
0.02500,O-H,0,0,0,0,0
0.03500,Si-O,0,0,0,0,0
0.03500,O-O,0,0,0,0,0
0.03500,O-H,0,0,0,0,0
0.04500,Si-O,0,0,0,0,0
0.04500,O-O,0,0,0,0,0
0.04500,O-H,0,0,0,0,0
0.05500,Si-O,0,0,0,0,0
0.05500,O-O,0,0,0,0,0
0.05500,O-H,0,0,0,0,0
0.06500,Si-O,0,0,0,0,0
0.06500,O-O,0,0,0,0,0
0.06500,O-H,0,0,0,0,0
0.07500,Si-O,0,0,0,0,0
0.07500,O-O,0,0,0,0,0
0.07500,O-H,0,0,0,0,0
0.08500,Si-O,0,0,0,0,0
0.08500,O-O,0,0,0,0,0
0.08500,O-H,0,0,0,0,0
0.09500,Si-O,0,0,0,0,0
0.09500,O-O,0,0,0,0,0
0.09500,O-H,0,0,0,0,0
0.10500,Si-O,0,0,0,0,0
0.10500,O-O,0,0,0,0,0
0.10500,O-H,0,0,0,0,0
0.11500,Si-O,0,0,0,0,0
0.11500,O-O,0,0,0,0,0
0.11500,O-H,0,0,0,0,0
0.12500,Si-O,0,0,0,0,0
0.12500,O-O,0,0,0,0,0
0.12500,O-H,0,0,0,0,0
0.13500,Si-O,0,0,0,0,0
0.13500,O-O,0,0,0,0,0
0.13500,O-H,0,0,0,0,0
0.14500,Si-O,0,0,0,0,0
0.14500,O-O,0,0,0,0,0
0.14500,O-H,0,0,0,0,0
0.15500,Si-O,0,0,0,0,0
0.15500,O-O,0,0,0,0,0
0.15500,O-H,0,0,0,0,0
0.16500,Si-O,0,0,0,0,0
0.16500,O-O,0,0,0,0,0
0.16500,O-H,0,0,0,0,0
0.17500,Si-O,0,0,0,0,0
0.17500,O-O,0,0,0,0,0
0.17500,O-H,0,0,0,0,0
0.18500,Si-O,0,0,0,0,0
0.18500,O-O,0,0,0,0,0
0.18500,O-H,0,0,0,0,0
0.19500,Si-O,0,0,0,0,0
0.19500,O-O,0,0,0,0,0
0.19500,O-H,0,0,0,0,0
0.20500,Si-O,0,0,0,0,0
0.20500,O-O,0,0,0,0,0
0.20500,O-H,0,0,0,0,0
0.21500,Si-O,0,0,0,0,0
0.21500,O-O,0,0,0,0,0
0.21500,O-H,0,0,0,0,0
