system,hexane_index,block_index,start_time_ps,end_time_ps,n_frames,z_mean_A,z_rms_A,z_msd_from_initial_A2,z_displacement_from_initial_A
CaF2,1,1,0.000000,9.900000,100,8.14864589,0.25922981,0.09713566,-0.17301898
CaF2,1,2,10.000000,19.900000,100,8.16725958,0.18826168,0.05928345,-0.15440529
CaF2,1,3,20.000000,29.900000,100,8.15147832,0.15400611,0.05268134,-0.17018655
CaF2,1,4,30.000000,39.900000,100,8.16640491,0.27199720,0.09808813,-0.15525996
CaF2,1,5,40.000000,49.900000,100,8.07852927,0.20319992,0.10040513,-0.24313560
CaF2,1,6,50.000000,59.900000,100,8.13074791,0.21153614,0.08119683,-0.19091696
CaF2,1,7,60.000000,69.900000,100,8.23780997,0.20942747,0.05089151,-0.08385490
CaF2,1,8,70.000000,79.900000,100,8.08072499,0.30284846,0.14976921,-0.24093988
CaF2,1,9,80.000000,89.900000,100,8.13760119,0.25597494,0.09940261,-0.18406368
CaF2,1,10,90.000000,99.900000,100,8.04996764,0.21437200,0.11977474,-0.27169723
CaF2,1,11,100.000000,109.900000,100,8.26686101,0.18257370,0.03633662,-0.05480386
CaF2,1,12,110.000000,119.900000,100,8.12651670,0.17936984,0.07025635,-0.19514817
CaF2,1,13,120.000000,129.900000,100,8.16863509,0.23413305,0.07823640,-0.15302978
CaF2,1,14,130.000000,139.900000,100,8.07944239,0.25082248,0.12158364,-0.24222248
CaF2,1,15,140.000000,149.900000,100,8.03703962,0.25975047,0.14848184,-0.28462525
CaF2,1,16,150.000000,159.900000,100,8.12202156,0.22038557,0.08842725,-0.19964331
CaF2,1,17,160.000000,169.900000,100,7.99325000,0.20894948,0.15151621,-0.32841487
CaF2,1,18,170.000000,179.900000,100,8.05014354,0.33710253,0.18736195,-0.27152133
CaF2,1,19,180.000000,189.900000,100,8.06735983,0.24338317,0.12390642,-0.25430504
CaF2,1,20,190.000000,199.900000,100,8.05443634,0.20983947,0.11544369,-0.26722853
CaF2,1,21,200.000000,209.900000,100,8.12011828,0.32377496,0.14545125,-0.20154659
CaF2,1,22,210.000000,219.900000,100,7.90603388,0.25978079,0.24023518,-0.41563099
CaF2,1,23,220.000000,229.900000,100,7.94047018,0.28535597,0.22673743,-0.38119469
CaF2,1,24,230.000000,239.900000,100,8.12737971,0.22636110,0.08898607,-0.19428516
CaF2,1,25,240.000000,249.900000,100,8.16520122,0.20722461,0.06742291,-0.15646365
CaF2,1,26,250.000000,259.900000,100,8.20806463,0.21993442,0.06127616,-0.11360024
CaF2,1,27,260.000000,269.900000,100,7.94192362,0.28062528,0.22295396,-0.37974125
CaF2,1,28,270.000000,279.900000,100,8.10662577,0.20594657,0.08865580,-0.21503910
CaF2,1,29,280.000000,289.900000,100,8.11619282,0.18223501,0.07542836,-0.20547205
CaF2,1,30,290.000000,299.900000,100,8.31911986,0.19005263,0.03612648,-0.00254501
CaF2,1,31,300.000000,309.900000,100,8.24952019,0.28892327,0.08868151,-0.07214468
CaF2,1,32,310.000000,319.900000,100,8.15501893,0.25607713,0.09334637,-0.16664594
CaF2,1,33,320.000000,329.900000,100,8.14779653,0.20913903,0.07396933,-0.17386834
CaF2,1,34,330.000000,339.900000,100,8.25140995,0.17986675,0.03728780,-0.07025492
CaF2,1,35,340.000000,349.900000,100,8.17934133,0.24711598,0.08132230,-0.14232354
CaF2,1,36,350.000000,359.900000,100,8.07009838,0.25486480,0.12824177,-0.25156649
CaF2,1,37,360.000000,369.900000,100,8.22723664,0.27900957,0.08676303,-0.09442823
CaF2,1,38,370.000000,379.900000,100,8.07593645,0.20552763,0.10262406,-0.24572842
CaF2,1,39,380.000000,389.900000,100,8.09508022,0.16691051,0.07919972,-0.22658465
CaF2,1,40,390.000000,399.900000,100,8.19048436,0.24236524,0.07594923,-0.13118051
CaF2,1,41,400.000000,409.900000,100,8.05503040,0.31368440,0.16949184,-0.26663447
CaF2,1,42,410.000000,419.900000,100,8.07255640,0.30827142,0.15708630,-0.24910847
CaF2,1,43,420.000000,429.900000,100,8.09786216,0.24692607,0.11106014,-0.22380271
CaF2,1,44,430.000000,439.900000,100,8.10725386,0.25764608,0.11235359,-0.21441101
CaF2,1,45,440.000000,449.900000,100,8.20367025,0.22105640,0.06278866,-0.11799462
CaF2,1,46,450.000000,459.900000,100,8.02666326,0.18495833,0.12123554,-0.29500161
CaF2,1,47,460.000000,469.900000,100,8.00763019,0.19005661,0.13473929,-0.31403468
CaF2,1,48,470.000000,479.900000,100,7.96731255,0.21684377,0.17258679,-0.35435232
CaF2,1,49,480.000000,489.900000,100,8.12837513,0.15783693,0.06227342,-0.19328974
CaF2,1,50,490.000000,499.900000,100,8.19562448,0.25392093,0.08036202,-0.12604039
CaF2,2,1,0.000000,9.900000,100,8.27862787,0.30442301,0.31727408,0.47392058
CaF2,2,2,10.000000,19.900000,100,8.22345640,0.23856942,0.23226618,0.41874911
CaF2,2,3,20.000000,29.900000,100,8.26812970,0.16431123,0.24175851,0.46342241
CaF2,2,4,30.000000,39.900000,100,8.13573973,0.24968469,0.17192492,0.33103244
CaF2,2,5,40.000000,49.900000,100,8.13753692,0.16755912,0.13885162,0.33282963
CaF2,2,6,50.000000,59.900000,100,7.97346189,0.19077429,0.06487295,0.16875460
CaF2,2,7,60.000000,69.900000,100,8.12395783,0.25259590,0.16572560,0.31925054
CaF2,2,8,70.000000,79.900000,100,8.07812475,0.21160069,0.11953196,0.27341746
CaF2,2,9,80.000000,89.900000,100,8.00619588,0.22781469,0.09249719,0.20148859
CaF2,2,10,90.000000,99.900000,100,8.06655514,0.27230155,0.14271243,0.26184785
CaF2,2,11,100.000000,109.900000,100,8.29833818,0.23074822,0.29691620,0.49363089
CaF2,2,12,110.000000,119.900000,100,8.11712100,0.25036659,0.16028576,0.31241371
CaF2,2,13,120.000000,129.900000,100,8.16034404,0.24098857,0.18455299,0.35563675
CaF2,2,14,130.000000,139.900000,100,8.06035441,0.20804104,0.10863653,0.25564712
CaF2,2,15,140.000000,149.900000,100,8.13853971,0.25979406,0.17893704,0.33383242
CaF2,2,16,150.000000,159.900000,100,8.09638449,0.22923275,0.13762324,0.29167720
CaF2,2,17,160.000000,169.900000,100,8.07974454,0.20550737,0.11787877,0.27503725
CaF2,2,18,170.000000,179.900000,100,7.99943753,0.30379334,0.13021026,0.19473024
CaF2,2,19,180.000000,189.900000,100,8.06760572,0.27207801,0.14314203,0.26289843
CaF2,2,20,190.000000,199.900000,100,8.06610821,0.25278499,0.13223069,0.26140092
CaF2,2,21,200.000000,209.900000,100,8.06336265,0.23056850,0.12006443,0.25865536
CaF2,2,22,210.000000,219.900000,100,8.20365921,0.28616605,0.24105364,0.39895192
