system,hexane_index,time_ps,com_z_unwrapped_A,z_msd_from_initial_A2
CaF2,1,0.000000,8.32166487,0.00000000
CaF2,1,0.100000,8.25485397,0.00446370
CaF2,1,0.200000,8.22936206,0.00851981
CaF2,1,0.300000,8.15363771,0.02823313
CaF2,1,0.400000,8.01295851,0.09529962
CaF2,1,0.500000,7.85436491,0.21836925
CaF2,1,0.600000,8.02616300,0.08732136
CaF2,1,0.700000,8.39515991,0.00540152
CaF2,1,0.800000,8.36685098,0.00204178
CaF2,1,0.900000,8.07492972,0.06087823
CaF2,1,1.000000,7.75272743,0.32368981
CaF2,1,1.100000,7.72609011,0.35470929
CaF2,1,1.200000,8.09083064,0.05328444
CaF2,1,1.300000,8.46994791,0.02198786
CaF2,1,1.400000,8.54185443,0.04848344
CaF2,1,1.500000,8.47838488,0.02456116
CaF2,1,1.600000,8.50859849,0.03494418
CaF2,1,1.700000,8.45743761,0.01843424
CaF2,1,1.800000,8.33146487,0.00009604
CaF2,1,1.900000,8.18150924,0.01964360
CaF2,1,2.000000,8.12381488,0.03914462
CaF2,1,2.100000,8.05855588,0.06922634
CaF2,1,2.200000,7.97399142,0.12087683
CaF2,1,2.300000,7.94180766,0.14429150
CaF2,1,2.400000,7.97665231,0.11903367
CaF2,1,2.500000,8.19026988,0.01726464
CaF2,1,2.600000,8.47168841,0.02250706
CaF2,1,2.700000,8.65900670,0.11379951
CaF2,1,2.800000,8.39423350,0.00526621
CaF2,1,2.900000,7.85760954,0.21534735
CaF2,1,3.000000,7.51860488,0.64490535
CaF2,1,3.100000,7.81370041,0.25802789
CaF2,1,3.200000,8.48204556,0.02572197
CaF2,1,3.300000,8.77839199,0.20859966
CaF2,1,3.400000,8.69466322,0.13912777
CaF2,1,3.500000,8.44654416,0.01559484
CaF2,1,3.600000,8.08386171,0.05655034
CaF2,1,3.700000,8.00938626,0.09751793
CaF2,1,3.800000,8.05542000,0.07088633
CaF2,1,3.900000,7.99256720,0.10830528
CaF2,1,4.000000,7.89176143,0.18481697
CaF2,1,4.100000,7.97014999,0.12356271
CaF2,1,4.200000,7.95597361,0.13373010
CaF2,1,4.300000,7.99587348,0.10614003
CaF2,1,4.400000,8.05571131,0.07073130
CaF2,1,4.500000,7.85218480,0.22041154
CaF2,1,4.600000,7.74420225,0.33346308
CaF2,1,4.700000,8.03897232,0.07991508
CaF2,1,4.800000,8.15123280,0.02904709
CaF2,1,4.900000,8.23310202,0.00784338
CaF2,1,5.000000,8.24128055,0.00646164
CaF2,1,5.100000,8.26290584,0.00345262
CaF2,1,5.200000,8.28707289,0.00119661
CaF2,1,5.300000,8.22739493,0.00888682
CaF2,1,5.400000,8.15013605,0.02942214
CaF2,1,5.500000,8.19101535,0.01706930
CaF2,1,5.600000,8.22620422,0.00911274
CaF2,1,5.700000,8.25185826,0.00487296
CaF2,1,5.800000,8.20914258,0.01266127
CaF2,1,5.900000,8.34714897,0.00064944
CaF2,1,6.000000,8.49882212,0.03138469
