system,group,O_serial_1based,time_ps,hbond_degree,fourfold_indicator
CaF2,1,210,0.0,4.0,1.0
CaF2,1,210,0.1,4.0,1.0
CaF2,1,210,0.2,4.0,1.0
CaF2,1,210,0.3,4.0,1.0
CaF2,1,210,0.4,2.0,0.0
CaF2,1,210,0.5,4.0,1.0
CaF2,1,210,0.6,4.0,1.0
CaF2,1,210,0.7,4.0,1.0
CaF2,1,210,0.8,4.0,1.0
CaF2,1,210,0.9,4.0,1.0
CaF2,1,210,0.9999999999999999,4.0,1.0
CaF2,1,210,1.1,4.0,1.0
CaF2,1,210,1.2000000000000002,4.0,1.0
CaF2,1,210,1.3,4.0,1.0
CaF2,1,210,1.4000000000000001,4.0,1.0
CaF2,1,210,1.5,4.0,1.0
CaF2,1,210,1.6,4.0,1.0
CaF2,1,210,1.7000000000000002,3.0,0.0
CaF2,1,210,1.8,4.0,1.0
CaF2,1,210,1.9000000000000001,3.0,0.0
CaF2,1,210,2.0,4.0,1.0
CaF2,1,210,2.1,4.0,1.0
CaF2,1,210,2.2,4.0,1.0
CaF2,1,210,2.3000000000000003,3.0,0.0
CaF2,1,210,2.4,4.0,1.0
CaF2,1,210,2.5,4.0,1.0
CaF2,1,210,2.6,4.0,1.0
CaF2,1,210,2.7,4.0,1.0
CaF2,1,210,2.8000000000000003,4.0,1.0
CaF2,1,210,2.9,4.0,1.0
CaF2,1,210,3.0,4.0,1.0
CaF2,1,210,3.1,3.0,0.0
CaF2,1,210,3.2,4.0,1.0
CaF2,1,210,3.3000000000000003,4.0,1.0
CaF2,1,210,3.4,3.0,0.0
CaF2,1,210,3.5,4.0,1.0
CaF2,1,210,3.6,4.0,1.0
CaF2,1,210,3.7,4.0,1.0
CaF2,1,210,3.8000000000000003,4.0,1.0
CaF2,1,210,3.9,4.0,1.0
CaF2,1,210,4.0,4.0,1.0
CaF2,1,210,4.1,4.0,1.0
CaF2,1,210,4.199999999999999,3.0,0.0
CaF2,1,210,4.3,3.0,0.0
CaF2,1,210,4.3999999999999995,4.0,1.0
CaF2,1,210,4.5,4.0,1.0
CaF2,1,210,4.6,4.0,1.0
CaF2,1,210,4.699999999999999,4.0,1.0
CaF2,1,210,4.8,4.0,1.0
CaF2,1,210,4.8999999999999995,4.0,1.0
CaF2,1,210,5.0,4.0,1.0
CaF2,1,210,5.1,4.0,1.0
CaF2,1,210,5.199999999999999,4.0,1.0
CaF2,1,210,5.3,4.0,1.0
CaF2,1,210,5.3999999999999995,4.0,1.0
CaF2,1,210,5.5,4.0,1.0
CaF2,1,210,5.6,3.0,0.0
CaF2,1,210,5.699999999999999,3.0,0.0
CaF2,1,210,5.8,4.0,1.0
CaF2,1,210,5.8999999999999995,3.0,0.0
CaF2,1,210,6.0,4.0,1.0
CaF2,1,210,6.1,4.0,1.0
CaF2,1,210,6.199999999999999,4.0,1.0
CaF2,1,210,6.3,4.0,1.0
CaF2,1,210,6.3999999999999995,4.0,1.0
CaF2,1,210,6.5,4.0,1.0
CaF2,1,210,6.6,3.0,0.0
CaF2,1,210,6.699999999999999,4.0,1.0
CaF2,1,210,6.8,4.0,1.0
CaF2,1,210,6.8999999999999995,4.0,1.0
CaF2,1,210,7.0,4.0,1.0
CaF2,1,210,7.1,4.0,1.0
CaF2,1,210,7.199999999999999,4.0,1.0
CaF2,1,210,7.3,4.0,1.0
CaF2,1,210,7.3999999999999995,4.0,1.0
CaF2,1,210,7.5,4.0,1.0
CaF2,1,210,7.6,4.0,1.0
CaF2,1,210,7.699999999999999,3.0,0.0
CaF2,1,210,7.8,4.0,1.0
CaF2,1,210,7.8999999999999995,4.0,1.0
CaF2,1,210,7.999999999999999,4.0,1.0
CaF2,1,210,8.100000000000001,4.0,1.0
CaF2,1,210,8.200000000000001,2.0,0.0
CaF2,1,210,8.3,4.0,1.0
CaF2,1,210,8.4,4.0,1.0
CaF2,1,210,8.5,4.0,1.0
CaF2,1,210,8.600000000000001,4.0,1.0
CaF2,1,210,8.700000000000001,4.0,1.0
CaF2,1,210,8.8,4.0,1.0
CaF2,1,210,8.9,4.0,1.0
CaF2,1,210,9.0,4.0,1.0
CaF2,1,210,9.100000000000001,4.0,1.0
CaF2,1,210,9.200000000000001,4.0,1.0
CaF2,1,210,9.3,4.0,1.0
CaF2,1,210,9.4,3.0,0.0
CaF2,1,210,9.5,3.0,0.0
CaF2,1,210,9.600000000000001,3.0,0.0
CaF2,1,210,9.700000000000001,4.0,1.0
CaF2,1,210,9.8,4.0,1.0
CaF2,1,210,9.9,3.0,0.0
CaF2,1,210,10.0,3.0,0.0
CaF2,1,210,10.100000000000001,3.0,0.0
CaF2,1,210,10.200000000000001,4.0,1.0
CaF2,1,210,10.3,4.0,1.0
CaF2,1,210,10.4,3.0,0.0
CaF2,1,210,10.5,4.0,1.0
CaF2,1,210,10.600000000000001,4.0,1.0
CaF2,1,210,10.700000000000001,4.0,1.0
CaF2,1,210,10.8,4.0,1.0
CaF2,1,210,10.9,4.0,1.0
