block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
1,1,0.0,2.0,15,-0.3313562082995805,0.7487034176828087
1,2,2.0,4.0,11,-0.13453583054173007,0.763594100579987
1,3,4.0,6.0,8,-0.18664263860810437,0.7897150778029297
1,4,6.0,8.0,11,-0.12661354488948892,0.7656920415644594
1,5,8.0,10.0,9,-0.14914410701375327,0.7137871714422042
1,6,10.0,12.0,14,-0.12151945802826325,0.761121100194467
1,7,12.0,14.0,8,-0.14366215658107645,0.7467610092129421
1,8,14.0,16.0,12,-0.031948540326113405,0.7496954084441579
1,9,16.0,18.0,9,-0.047249284787550985,0.7460895550473118
1,10,18.0,20.0,13,-0.025305287216561397,0.7512064814860984
1,11,20.0,22.0,9,-0.03160490234580045,0.7348496595049533
1,12,22.0,24.0,11,-0.38086461058597265,0.7104176042558018
2,1,0.0,2.0,15,-0.24832242523005488,0.7281982693750201
2,2,2.0,4.0,11,-0.07202846694501024,0.7443930565984295
2,3,4.0,6.0,8,-0.051168022678438334,0.7635159137037048
2,4,6.0,8.0,11,-0.21407485031885526,0.7409036319116754
2,5,8.0,10.0,9,-0.11320436684364274,0.7418213475842594
2,6,10.0,12.0,14,-0.10191648900431192,0.7267145105420092
2,7,12.0,14.0,8,0.028089073338934598,0.7416792603493475
2,8,14.0,16.0,12,-0.0015292866016573248,0.7346759985469071
2,9,16.0,18.0,9,-0.06645410646796016,0.7720095120083607
2,10,18.0,20.0,13,-0.11888577159382505,0.7355497092776366
2,11,20.0,22.0,9,-0.2304549916429344,0.7366574036570336
2,12,22.0,24.0,11,-0.19513062078484214,0.7221570010203922
3,1,0.0,2.0,15,-0.3215038955049448,0.7486520874028498
3,2,2.0,4.0,11,-0.16612480701032822,0.7768959287030456
3,3,4.0,6.0,8,-0.11779004523102993,0.7434145866441737
3,4,6.0,8.0,11,0.03296549288708708,0.725330819657376
3,5,8.0,10.0,9,-0.2735213264981213,0.6792902014345076
3,6,10.0,12.0,14,-0.03189429729851545,0.7262447842505951
3,7,12.0,14.0,8,-0.11461676056017668,0.7568971678033645
3,8,14.0,16.0,12,-0.2168938038109919,0.7081018515535911
3,9,16.0,18.0,9,0.00032396160634082656,0.7593059239644951
3,10,18.0,20.0,13,-0.19201109467191935,0.7215136101286838
3,11,20.0,22.0,9,-0.15050341500148107,0.7122810157413698
3,12,22.0,24.0,11,-0.3044157430710759,0.7408922587660252
4,1,0.0,2.0,15,-0.25008214925978595,0.7224165528267379
4,2,2.0,4.0,11,-0.08197163431676646,0.7320093619643571
4,3,4.0,6.0,8,-0.3322253591930041,0.7420607153462621
4,4,6.0,8.0,11,0.00848276953902788,0.7639367673494704
4,5,8.0,10.0,9,-0.057627297758091785,0.7219282808859028
4,6,10.0,12.0,14,0.07121186740353272,0.7208900625089643
4,7,12.0,14.0,8,-0.09027170724835136,0.7314512559621852
4,8,14.0,16.0,12,-0.07406551026442128,0.7369728390427018
4,9,16.0,18.0,9,0.04010342302133673,0.7489427368833099
4,10,18.0,20.0,13,-0.24660791287163647,0.771147388929329
4,11,20.0,22.0,9,-0.07496934952570115,0.7289538485291011
4,12,22.0,24.0,11,-0.14384128959374926,0.6983180098211871
5,1,0.0,2.0,15,-0.06287537880878323,0.7474361471105131
5,2,2.0,4.0,11,-0.03538474222435055,0.751971412821677
