block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
1,1,0.0,2.0,10,0.16226988057855618,0.7702423157852445
1,2,2.0,4.0,12,0.037035892692925364,0.7125625915113022
1,3,4.0,6.0,10,0.04427408932988099,0.7736922147608681
1,4,6.0,8.0,8,0.342327082192752,0.7956142440781048
1,5,8.0,10.0,10,0.08923590868289452,0.7128868841074159
1,6,10.0,12.0,10,-0.0416444780943866,0.7465802367961619
1,7,12.0,14.0,10,0.5435652768635781,0.72778788809162
1,8,14.0,16.0,10,0.3282282387824332,0.7436521592455775
1,9,16.0,18.0,6,-0.05293138515371521,0.7956261387999418
1,10,18.0,20.0,12,0.15326294571673355,0.7635408556788199
1,11,20.0,22.0,10,0.16216092842939991,0.7749894873390005
1,12,22.0,24.0,10,-0.037219508715432184,0.7753414415336678
2,1,0.0,2.0,10,-0.0035688108716497753,0.7742350233858203
2,2,2.0,4.0,12,-0.000982957893786754,0.7599770880061067
2,3,4.0,6.0,10,0.14120915929563582,0.7708054528220376
2,4,6.0,8.0,8,0.05364563328733797,0.7931651674535428
2,5,8.0,10.0,10,0.20029353276626172,0.7586600623128804
2,6,10.0,12.0,10,0.1209963947232914,0.7675231869864764
2,7,12.0,14.0,10,0.10300476263566848,0.7581669690965713
2,8,14.0,16.0,10,0.3076603484056659,0.7569140529995254
2,9,16.0,18.0,6,-0.16393783325508915,0.7705377098171995
2,10,18.0,20.0,12,0.05697115200552023,0.7556944731206033
2,11,20.0,22.0,10,0.22326755279606308,0.7808476170350184
2,12,22.0,24.0,10,0.2708579794308755,0.7924567534744661
3,1,0.0,2.0,10,0.1397444404841549,0.7382011620551723
3,2,2.0,4.0,12,0.009713389129923965,0.7478039481980819
3,3,4.0,6.0,10,0.22243894374862977,0.7845715450581171
3,4,6.0,8.0,8,0.12012961468901512,0.8035438921894087
3,5,8.0,10.0,10,0.04007734801341887,0.73821480250131
3,6,10.0,12.0,10,0.37447236129751776,0.754235879538677
3,7,12.0,14.0,10,0.43725743275634765,0.7456067561716506
3,8,14.0,16.0,10,0.3030084986258267,0.7695213113741017
3,9,16.0,18.0,6,0.04659579823143396,0.771786319520804
3,10,18.0,20.0,12,0.01653750483227724,0.7161089024990883
3,11,20.0,22.0,10,0.0734276871957714,0.7638636852580123
3,12,22.0,24.0,10,-0.01658390625251829,0.7430985585890388
4,1,0.0,2.0,10,-0.059931004841280125,0.7387127872690057
4,2,2.0,4.0,12,0.0378140269093636,0.7513641559391961
4,3,4.0,6.0,10,-0.03358795922532534,0.7552747306213481
4,4,6.0,8.0,8,0.014468889151783012,0.7839643017966479
4,5,8.0,10.0,10,-0.0541388936583661,0.6488501200136926
4,6,10.0,12.0,10,0.060388621319503816,0.750448416541843
4,7,12.0,14.0,10,0.06606958194460906,0.7794328942995666
4,8,14.0,16.0,10,0.0384699018819431,0.7699283940087754
4,9,16.0,18.0,6,-0.010403658212273249,0.7931181922364116
4,10,18.0,20.0,12,0.165876646786182,0.7601856550052751
4,11,20.0,22.0,10,-0.057279825130007005,0.744020935328832
4,12,22.0,24.0,10,0.08533456120748922,0.7974925336042654
5,1,0.0,2.0,10,0.15476052519570768,0.7656965658062611
5,2,2.0,4.0,12,0.07693942773773481,0.7489506247619215
5,3,4.0,6.0,10,0.20646597363393393,0.7784492578568362
5,4,6.0,8.0,8,0.08695485459700901,0.8017345772431131
5,5,8.0,10.0,10,0.025924624746042083,0.7130910535976663
5,6,10.0,12.0,10,0.09774351295900255,0.757522858195605
5,7,12.0,14.0,10,0.19695260229504177,0.7824289095122393
