block,time_min_ps,time_max_ps,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,water_frame_observations,mean_instantaneous_water_count,water_number_density_A-3,water_mass_density_g_cm-3,mean_tetrahedral_q,mean_HB_degree,fraction_degree_eq4,mean_P1_cos_theta,mean_P2
1,0.0,10.0,1,0.0,2.0,7058,7.058,0.022771925989811315,0.6812239022551974,0.573416521116819,3.2354774723717767,0.4045055256446585,0.11880442984749147,0.2055627254255434
1,0.0,10.0,2,2.0,4.0,13145,13.145,0.042411018296411127,1.2687288460108486,0.8272063561921091,3.601445416508178,0.6512742487637885,-0.04842307754779564,0.0932845344009767
1,0.0,10.0,3,4.0,6.0,9560,9.56,0.03084437694284446,0.92271188800789,0.8446089358337922,3.8041841004184103,0.8162133891213389,0.04124437786719163,-0.3015669937238984
1,0.0,10.0,4,6.0,8.0,8167,8.167,0.026350002771151744,0.7882623419833092,0.8376814734856131,3.8211093424758173,0.7520509366964614,-0.02953083048437276,-0.26580804041575157
1,0.0,10.0,5,8.0,10.0,9846,9.846,0.03176712713172035,0.950316030264193,0.8235555894360239,3.5998374974608978,0.700893763965062,0.05719092392914063,0.040337809447379316
1,0.0,10.0,6,10.0,12.0,10154,10.154,0.032760858104355924,0.9800435680786731,0.8330858576494099,3.849123498128816,0.7877683671459523,-0.0021727760813492407,-0.027827416124435924
1,0.0,10.0,7,12.0,14.0,12543,12.543,0.04046872594080523,1.2106250221007282,0.8209065233121354,3.606792633341306,0.6600494299609344,0.007423495845737567,0.09795768830535406
1,0.0,10.0,8,14.0,16.0,7465,7.465,0.02408507048936547,0.7205067200814748,0.7931737674707573,3.67622237106497,0.7137307434695245,-0.026063549673485634,0.15485598471128334
1,0.0,10.0,9,16.0,18.0,8770,8.77,0.028295521526019444,0.8464626838733467,0.8465564957325501,3.8205245153933864,0.8358038768529077,0.25480710853413163,-0.023719059038152322
1,0.0,10.0,10,18.0,20.0,9975,9.975,0.03218333263649304,0.9627668496735045,0.8191528358433546,3.722606516290727,0.7496741854636592,-0.08697706343629401,0.27063492034953673
1,0.0,10.0,11,20.0,22.0,9408,9.408,0.030353964255050277,0.9080411550604841,0.8315376606171198,3.7781675170068025,0.7934736394557823,-0.13163592908832097,0.02309922800280707
