layer_index,z_min_A,z_max_A,water_count,wavenumber_cm-1,VDOS_area_normalized_mean_unsmoothed,VDOS_SEM_50_blocks
4,16.0,20.0,2,1201.189064,7.190380529e-05,6.288108725e-06
4,16.0,20.0,2,1203.224977,7.226785909e-05,4.666508072e-06
4,16.0,20.0,2,1205.260891,7.407592594e-05,4.944374599e-06
4,16.0,20.0,2,1207.296805,7.481404583e-05,5.117781994e-06
4,16.0,20.0,2,1209.332718,6.926639938e-05,4.526057053e-06
4,16.0,20.0,2,1211.368632,6.219754184e-05,3.942921096e-06
4,16.0,20.0,2,1213.404546,6.261009669e-05,4.200346816e-06
4,16.0,20.0,2,1215.440459,6.933031636e-05,5.231332151e-06
4,16.0,20.0,2,1217.476373,7.213357303e-05,5.864772232e-06
4,16.0,20.0,2,1219.512287,6.726996994e-05,4.947084489e-06
4,16.0,20.0,2,1221.5482,6.220684418e-05,4.191127826e-06
4,16.0,20.0,2,1223.584114,6.208555352e-05,4.37453851e-06
4,16.0,20.0,2,1225.620028,6.292277682e-05,4.440639629e-06
4,16.0,20.0,2,1227.655941,6.144838123e-05,4.069852513e-06
4,16.0,20.0,2,1229.691855,6.023307861e-05,4.459632424e-06
4,16.0,20.0,2,1231.727769,5.970222286e-05,4.232165203e-06
4,16.0,20.0,2,1233.763682,5.861893171e-05,3.60275159e-06
4,16.0,20.0,2,1235.799596,5.821793674e-05,3.447518101e-06
4,16.0,20.0,2,1237.83551,5.939040076e-05,3.805398945e-06
4,16.0,20.0,2,1239.871423,6.061436175e-05,3.813262826e-06
4,16.0,20.0,2,1241.907337,5.926213674e-05,3.670637805e-06
4,16.0,20.0,2,1243.943251,5.556871624e-05,3.800919198e-06
4,16.0,20.0,2,1245.979164,5.263592038e-05,3.461033645e-06
4,16.0,20.0,2,1248.015078,5.101280182e-05,2.952329722e-06
4,16.0,20.0,2,1250.050992,4.961251774e-05,2.565920618e-06
4,16.0,20.0,2,1252.086905,4.970042026e-05,2.634694432e-06
4,16.0,20.0,2,1254.122819,5.14755017e-05,2.758319874e-06
4,16.0,20.0,2,1256.158733,5.310123955e-05,2.708701815e-06
4,16.0,20.0,2,1258.194646,5.361510207e-05,2.568837787e-06
4,16.0,20.0,2,1260.23056,5.369888427e-05,2.801358528e-06
4,16.0,20.0,2,1262.266474,5.34686049e-05,3.239688507e-06
4,16.0,20.0,2,1264.302387,5.249410981e-05,3.305038687e-06
4,16.0,20.0,2,1266.338301,5.113490767e-05,3.073055845e-06
4,16.0,20.0,2,1268.374215,4.906201237e-05,2.605891941e-06
4,16.0,20.0,2,1270.410128,4.689982099e-05,2.509594512e-06
4,16.0,20.0,2,1272.446042,4.617245552e-05,2.588560333e-06
4,16.0,20.0,2,1274.481956,4.761802271e-05,2.573381283e-06
4,16.0,20.0,2,1276.517869,5.023682836e-05,2.626613257e-06
4,16.0,20.0,2,1278.553783,5.122304275e-05,2.334489739e-06
4,16.0,20.0,2,1280.589697,5.097079026e-05,2.840817851e-06
4,16.0,20.0,2,1282.62561,5.043573545e-05,3.383245011e-06
4,16.0,20.0,2,1284.661524,4.953238054e-05,3.498200867e-06
4,16.0,20.0,2,1286.697438,4.954357805e-05,3.653224915e-06
4,16.0,20.0,2,1288.733351,4.889138201e-05,3.21708874e-06
4,16.0,20.0,2,1290.769265,4.623466088e-05,2.37434126e-06
4,16.0,20.0,2,1292.805179,4.443544547e-05,1.74242561e-06
4,16.0,20.0,2,1294.841092,4.576870786e-05,1.908663672e-06
4,16.0,20.0,2,1296.877006,4.799922279e-05,2.482477843e-06
4,16.0,20.0,2,1298.91292,4.982393415e-05,3.559069723e-06
4,16.0,20.0,2,1300.948833,5.245741024e-05,4.076711815e-06
4,16.0,20.0,2,1302.984747,5.486800504e-05,3.928799609e-06
4,16.0,20.0,2,1305.020661,5.535608811e-05,3.473882378e-06
4,16.0,20.0,2,1307.056574,5.332492579e-05,2.792334239e-06
4,16.0,20.0,2,1309.092488,5.061985083e-05,2.526170646e-06
4,16.0,20.0,2,1311.128402,4.977554355e-05,2.949850756e-06
4,16.0,20.0,2,1313.164315,5.032963311e-05,3.157817993e-06
4,16.0,20.0,2,1315.200229,5.1274765e-05,3.070679764e-06
4,16.0,20.0,2,1317.236143,5.201257693e-05,2.717736811e-06
4,16.0,20.0,2,1319.272056,5.272841162e-05,2.484273975e-06
4,16.0,20.0,2,1321.30797,5.353561639e-05,2.482713411e-06
