output_frame,source_frame,source_configuration,time_ps
1,30000,30000,30.0
2,30100,30100,30.1
3,30200,30200,30.2
4,30300,30300,30.3
5,30400,30400,30.4
6,30500,30500,30.5
7,30600,30600,30.6
8,30700,30700,30.7
9,30800,30800,30.8
10,30900,30900,30.9
11,31000,31000,31.0
12,31100,31100,31.1
13,31200,31200,31.2
14,31300,31300,31.3
15,31400,31400,31.4
16,31500,31500,31.5
17,31600,31600,31.6
18,31700,31700,31.7
19,31800,31800,31.8
20,31900,31900,31.9
21,32000,32000,32.0
22,32100,32100,32.1
23,32200,32200,32.2
24,32300,32300,32.3
25,32400,32400,32.4
26,32500,32500,32.5
27,32600,32600,32.6
28,32700,32700,32.7
29,32800,32800,32.8
30,32900,32900,32.9
31,33000,33000,33.0
32,33100,33100,33.1
33,33200,33200,33.2
34,33300,33300,33.3
35,33400,33400,33.4
36,33500,33500,33.5
37,33600,33600,33.6
38,33700,33700,33.7
39,33800,33800,33.8
40,33900,33900,33.9
41,34000,34000,34.0
42,34100,34100,34.1
43,34200,34200,34.2
44,34300,34300,34.3
45,34400,34400,34.4
46,34500,34500,34.5
47,34600,34600,34.6
48,34700,34700,34.7
49,34800,34800,34.8
50,34900,34900,34.9
51,35000,35000,35.0
52,35100,35100,35.1
53,35200,35200,35.2
54,35300,35300,35.3
55,35400,35400,35.4
56,35500,35500,35.5
57,35600,35600,35.6
58,35700,35700,35.7
59,35800,35800,35.8
60,35900,35900,35.9
61,36000,36000,36.0
62,36100,36100,36.1
63,36200,36200,36.2
64,36300,36300,36.3
65,36400,36400,36.4
66,36500,36500,36.5
67,36600,36600,36.6
68,36700,36700,36.7
69,36800,36800,36.8
70,36900,36900,36.9
71,37000,37000,37.0
72,37100,37100,37.1
73,37200,37200,37.2
74,37300,37300,37.3
75,37400,37400,37.4
76,37500,37500,37.5
77,37600,37600,37.6
78,37700,37700,37.7
79,37800,37800,37.8
80,37900,37900,37.9
81,38000,38000,38.0
82,38100,38100,38.1
83,38200,38200,38.2
84,38300,38300,38.3
85,38400,38400,38.4
86,38500,38500,38.5
87,38600,38600,38.6
88,38700,38700,38.7
89,38800,38800,38.8
90,38900,38900,38.9
91,39000,39000,39.0
92,39100,39100,39.1
93,39200,39200,39.2
94,39300,39300,39.3
95,39400,39400,39.4
96,39500,39500,39.5
97,39600,39600,39.6
98,39700,39700,39.7
99,39800,39800,39.8
100,39900,39900,39.9
101,40000,40000,40.0
102,40100,40100,40.1
103,40200,40200,40.2
104,40300,40300,40.3
105,40400,40400,40.4
106,40500,40500,40.5
107,40600,40600,40.6
108,40700,40700,40.7
109,40800,40800,40.8
110,40900,40900,40.9
111,41000,41000,41.0
112,41100,41100,41.1
113,41200,41200,41.2
114,41300,41300,41.3
115,41400,41400,41.4
116,41500,41500,41.5
117,41600,41600,41.6
118,41700,41700,41.7
119,41800,41800,41.8
120,41900,41900,41.9
121,42000,42000,42.0
122,42100,42100,42.1
123,42200,42200,42.2
124,42300,42300,42.3
125,42400,42400,42.4
126,42500,42500,42.5
127,42600,42600,42.6
128,42700,42700,42.7
129,42800,42800,42.8
130,42900,42900,42.9
131,43000,43000,43.0
132,43100,43100,43.1
133,43200,43200,43.2
134,43300,43300,43.3
135,43400,43400,43.4
136,43500,43500,43.5
137,43600,43600,43.6
138,43700,43700,43.7
139,43800,43800,43.8
140,43900,43900,43.9
141,44000,44000,44.0
142,44100,44100,44.1
143,44200,44200,44.2
144,44300,44300,44.3
145,44400,44400,44.4
146,44500,44500,44.5
147,44600,44600,44.6
148,44700,44700,44.7
149,44800,44800,44.8
150,44900,44900,44.9
151,45000,45000,45.0
152,45100,45100,45.1
153,45200,45200,45.2
154,45300,45300,45.3
155,45400,45400,45.4
156,45500,45500,45.5
157,45600,45600,45.6
158,45700,45700,45.7
159,45800,45800,45.8
160,45900,45900,45.9
161,46000,46000,46.0
162,46100,46100,46.1
163,46200,46200,46.2
164,46300,46300,46.3
165,46400,46400,46.4
166,46500,46500,46.5
167,46600,46600,46.6
168,46700,46700,46.7
169,46800,46800,46.8
170,46900,46900,46.9
171,47000,47000,47.0
172,47100,47100,47.1
173,47200,47200,47.2
174,47300,47300,47.3
175,47400,47400,47.4
176,47500,47500,47.5
177,47600,47600,47.6
178,47700,47700,47.7
179,47800,47800,47.8
180,47900,47900,47.9
181,48000,48000,48.0
182,48100,48100,48.1
183,48200,48200,48.2
184,48300,48300,48.3
185,48400,48400,48.4
186,48500,48500,48.5
187,48600,48600,48.6
188,48700,48700,48.7
189,48800,48800,48.8
190,48900,48900,48.9
191,49000,49000,49.0
192,49100,49100,49.1
193,49200,49200,49.2
194,49300,49300,49.3
195,49400,49400,49.4
196,49500,49500,49.5
197,49600,49600,49.6
198,49700,49700,49.7
199,49800,49800,49.8
200,49900,49900,49.9
201,50000,50000,50.0
