output_frame,source_frame,source_configuration,time_ps
1,30308,30308,30.308
2,30408,30408,30.408
3,30508,30508,30.508
4,30608,30608,30.608
5,30708,30708,30.708
6,30808,30808,30.808
7,30908,30908,30.908
8,31008,31008,31.008
9,31108,31108,31.108
10,31208,31208,31.208
11,31308,31308,31.308
12,31408,31408,31.408
13,31508,31508,31.508
14,31608,31608,31.608
15,31708,31708,31.708
16,31808,31808,31.808
17,31908,31908,31.908
18,32008,32008,32.008
19,32108,32108,32.108
20,32208,32208,32.208
21,32308,32308,32.308
22,32408,32408,32.408
23,32508,32508,32.508
24,32608,32608,32.608
25,32708,32708,32.708
26,32808,32808,32.808
27,32908,32908,32.908
28,33008,33008,33.008
29,33108,33108,33.108
30,33208,33208,33.208
31,33308,33308,33.308
32,33408,33408,33.408
33,33508,33508,33.508
34,33608,33608,33.608
35,33708,33708,33.708
36,33808,33808,33.808
37,33908,33908,33.908
38,34008,34008,34.008
39,34108,34108,34.108
40,34208,34208,34.208
41,34308,34308,34.308
42,34408,34408,34.408
43,34508,34508,34.508
44,34608,34608,34.608
45,34708,34708,34.708
46,34808,34808,34.808
47,34908,34908,34.908
48,35008,35008,35.008
49,35108,35108,35.108
50,35208,35208,35.208
51,35308,35308,35.308
52,35408,35408,35.408
53,35508,35508,35.508
54,35608,35608,35.608
55,35708,35708,35.708
56,35808,35808,35.808
57,35908,35908,35.908
58,36008,36008,36.008
59,36108,36108,36.108
60,36208,36208,36.208
61,36308,36308,36.308
62,36408,36408,36.408
63,36508,36508,36.508
64,36608,36608,36.608
65,36708,36708,36.708
66,36808,36808,36.808
67,36908,36908,36.908
68,37008,37008,37.008
69,37108,37108,37.108
70,37208,37208,37.208
71,37308,37308,37.308
72,37408,37408,37.408
73,37508,37508,37.508
74,37608,37608,37.608
75,37708,37708,37.708
76,37808,37808,37.808
77,37908,37908,37.908
78,38008,38008,38.008
79,38108,38108,38.108
80,38208,38208,38.208
81,38308,38308,38.308
82,38408,38408,38.408
83,38508,38508,38.508
84,38608,38608,38.608
85,38708,38708,38.708
86,38808,38808,38.808
87,38908,38908,38.908
88,39008,39008,39.008
89,39108,39108,39.108
90,39208,39208,39.208
91,39308,39308,39.308
92,39408,39408,39.408
93,39508,39508,39.508
94,39608,39608,39.608
95,39708,39708,39.708
96,39808,39808,39.808
97,39908,39908,39.908
98,40008,40008,40.008
99,40108,40108,40.108
100,40208,40208,40.208
101,40308,40308,40.308
102,40408,40408,40.408
103,40508,40508,40.508
104,40608,40608,40.608
105,40708,40708,40.708
106,40808,40808,40.808
107,40908,40908,40.908
108,41008,41008,41.008
109,41108,41108,41.108
110,41208,41208,41.208
111,41308,41308,41.308
112,41408,41408,41.408
113,41508,41508,41.508
114,41608,41608,41.608
115,41708,41708,41.708
116,41808,41808,41.808
117,41908,41908,41.908
118,42008,42008,42.008
119,42108,42108,42.108
120,42208,42208,42.208
121,42308,42308,42.308
122,42408,42408,42.408
123,42508,42508,42.508
124,42608,42608,42.608
125,42708,42708,42.708
126,42808,42808,42.808
127,42908,42908,42.908
128,43008,43008,43.008
129,43108,43108,43.108
130,43208,43208,43.208
131,43308,43308,43.308
132,43408,43408,43.408
133,43508,43508,43.508
134,43608,43608,43.608
135,43708,43708,43.708
136,43808,43808,43.808
137,43908,43908,43.908
138,44008,44008,44.008
139,44108,44108,44.108
140,44208,44208,44.208
141,44308,44308,44.308
142,44408,44408,44.408
143,44508,44508,44.508
144,44608,44608,44.608
145,44708,44708,44.708
146,44808,44808,44.808
147,44908,44908,44.908
148,45008,45008,45.008
149,45108,45108,45.108
150,45208,45208,45.208
151,45308,45308,45.308
152,45408,45408,45.408
153,45508,45508,45.508
154,45608,45608,45.608
155,45708,45708,45.708
156,45808,45808,45.808
157,45908,45908,45.908
158,46008,46008,46.008
159,46108,46108,46.108
160,46208,46208,46.208
161,46308,46308,46.308
162,46408,46408,46.408
163,46508,46508,46.508
164,46608,46608,46.608
165,46708,46708,46.708
166,46808,46808,46.808
167,46908,46908,46.908
168,47008,47008,47.008
169,47108,47108,47.108
170,47208,47208,47.208
171,47308,47308,47.308
172,47408,47408,47.408
173,47508,47508,47.508
174,47608,47608,47.608
175,47708,47708,47.708
176,47808,47808,47.808
177,47908,47908,47.908
178,48008,48008,48.008
179,48108,48108,48.108
180,48208,48208,48.208
181,48308,48308,48.308
182,48408,48408,48.408
183,48508,48508,48.508
184,48608,48608,48.608
185,48708,48708,48.708
186,48808,48808,48.808
187,48908,48908,48.908
188,49008,49008,49.008
189,49108,49108,49.108
190,49208,49208,49.208
191,49308,49308,49.308
192,49408,49408,49.408
193,49508,49508,49.508
194,49608,49608,49.608
195,49708,49708,49.708
196,49808,49808,49.808
197,49908,49908,49.908
198,50008,50008,50.008
199,50108,50108,50.108
200,50208,50208,50.208
201,50308,50308,50.308
