output_frame,source_frame,source_configuration,time_ps
1,4801,960000,480.0
2,4802,960200,480.1
3,4803,960400,480.2
4,4804,960600,480.3
5,4805,960800,480.4
6,4806,961000,480.5
7,4807,961200,480.6
8,4808,961400,480.7
9,4809,961600,480.8
10,4810,961800,480.9
11,4811,962000,481.0
12,4812,962200,481.1
13,4813,962400,481.2
14,4814,962600,481.3
15,4815,962800,481.4
16,4816,963000,481.5
17,4817,963200,481.6
18,4818,963400,481.7
19,4819,963600,481.8
20,4820,963800,481.9
21,4821,964000,482.0
22,4822,964200,482.1
23,4823,964400,482.2
24,4824,964600,482.3
25,4825,964800,482.4
26,4826,965000,482.5
27,4827,965200,482.6
28,4828,965400,482.7
29,4829,965600,482.8
30,4830,965800,482.9
31,4831,966000,483.0
32,4832,966200,483.1
33,4833,966400,483.2
34,4834,966600,483.3
35,4835,966800,483.4
36,4836,967000,483.5
37,4837,967200,483.6
38,4838,967400,483.7
39,4839,967600,483.8
40,4840,967800,483.9
41,4841,968000,484.0
42,4842,968200,484.1
43,4843,968400,484.2
44,4844,968600,484.3
45,4845,968800,484.4
46,4846,969000,484.5
47,4847,969200,484.6
48,4848,969400,484.7
49,4849,969600,484.8
50,4850,969800,484.9
51,4851,970000,485.0
52,4852,970200,485.1
53,4853,970400,485.2
54,4854,970600,485.3
55,4855,970800,485.4
56,4856,971000,485.5
57,4857,971200,485.6
58,4858,971400,485.7
59,4859,971600,485.8
60,4860,971800,485.9
61,4861,972000,486.0
62,4862,972200,486.1
63,4863,972400,486.2
64,4864,972600,486.3
65,4865,972800,486.4
66,4866,973000,486.5
67,4867,973200,486.6
68,4868,973400,486.7
69,4869,973600,486.8
70,4870,973800,486.9
71,4871,974000,487.0
72,4872,974200,487.1
73,4873,974400,487.2
74,4874,974600,487.3
75,4875,974800,487.4
76,4876,975000,487.5
77,4877,975200,487.6
78,4878,975400,487.7
79,4879,975600,487.8
80,4880,975800,487.9
81,4881,976000,488.0
82,4882,976200,488.1
83,4883,976400,488.2
84,4884,976600,488.3
85,4885,976800,488.4
86,4886,977000,488.5
87,4887,977200,488.6
88,4888,977400,488.7
89,4889,977600,488.8
90,4890,977800,488.9
91,4891,978000,489.0
92,4892,978200,489.1
93,4893,978400,489.2
94,4894,978600,489.3
95,4895,978800,489.4
96,4896,979000,489.5
97,4897,979200,489.6
98,4898,979400,489.7
99,4899,979600,489.8
100,4900,979800,489.9
101,4901,980000,490.0
102,4902,980200,490.1
103,4903,980400,490.2
104,4904,980600,490.3
105,4905,980800,490.4
106,4906,981000,490.5
107,4907,981200,490.6
108,4908,981400,490.7
109,4909,981600,490.8
110,4910,981800,490.9
111,4911,982000,491.0
112,4912,982200,491.1
113,4913,982400,491.2
114,4914,982600,491.3
115,4915,982800,491.4
116,4916,983000,491.5
117,4917,983200,491.6
118,4918,983400,491.7
119,4919,983600,491.8
120,4920,983800,491.9
121,4921,984000,492.0
122,4922,984200,492.1
123,4923,984400,492.2
124,4924,984600,492.3
125,4925,984800,492.4
126,4926,985000,492.5
127,4927,985200,492.6
128,4928,985400,492.7
129,4929,985600,492.8
130,4930,985800,492.9
131,4931,986000,493.0
132,4932,986200,493.1
133,4933,986400,493.2
134,4934,986600,493.3
135,4935,986800,493.4
136,4936,987000,493.5
137,4937,987200,493.6
138,4938,987400,493.7
139,4939,987600,493.8
140,4940,987800,493.9
141,4941,988000,494.0
142,4942,988200,494.1
143,4943,988400,494.2
144,4944,988600,494.3
145,4945,988800,494.4
146,4946,989000,494.5
147,4947,989200,494.6
148,4948,989400,494.7
149,4949,989600,494.8
150,4950,989800,494.9
151,4951,990000,495.0
152,4952,990200,495.1
153,4953,990400,495.2
154,4954,990600,495.3
155,4955,990800,495.4
156,4956,991000,495.5
157,4957,991200,495.6
158,4958,991400,495.7
159,4959,991600,495.8
160,4960,991800,495.9
161,4961,992000,496.0
162,4962,992200,496.1
163,4963,992400,496.2
164,4964,992600,496.3
165,4965,992800,496.4
166,4966,993000,496.5
167,4967,993200,496.6
168,4968,993400,496.7
169,4969,993600,496.8
170,4970,993800,496.9
171,4971,994000,497.0
172,4972,994200,497.1
173,4973,994400,497.2
174,4974,994600,497.3
175,4975,994800,497.4
176,4976,995000,497.5
177,4977,995200,497.6
178,4978,995400,497.7
179,4979,995600,497.8
180,4980,995800,497.9
181,4981,996000,498.0
182,4982,996200,498.1
183,4983,996400,498.2
184,4984,996600,498.3
185,4985,996800,498.4
186,4986,997000,498.5
187,4987,997200,498.6
188,4988,997400,498.7
189,4989,997600,498.8
190,4990,997800,498.9
191,4991,998000,499.0
192,4992,998200,499.1
193,4993,998400,499.2
194,4994,998600,499.3
195,4995,998800,499.4
196,4996,999000,499.5
197,4997,999200,499.6
198,4998,999400,499.7
199,4999,999600,499.8
200,5000,999800,499.9
201,5001,1000000,500.0
