output_frame,source_frame,source_configuration
1,30430,30430
2,30530,30530
3,30630,30630
4,30730,30730
5,30830,30830
6,30930,30930
7,31030,31030
8,31130,31130
9,31230,31230
10,31330,31330
11,31430,31430
12,31530,31530
13,31630,31630
14,31730,31730
15,31830,31830
16,31930,31930
17,32030,32030
18,32130,32130
19,32230,32230
20,32330,32330
21,32430,32430
22,32530,32530
23,32630,32630
24,32730,32730
25,32830,32830
26,32930,32930
27,33030,33030
28,33130,33130
29,33230,33230
30,33330,33330
31,33430,33430
32,33530,33530
33,33630,33630
34,33730,33730
35,33830,33830
36,33930,33930
37,34030,34030
38,34130,34130
39,34230,34230
40,34330,34330
41,34430,34430
42,34530,34530
43,34630,34630
44,34730,34730
45,34830,34830
46,34930,34930
47,35030,35030
48,35130,35130
49,35230,35230
50,35330,35330
51,35430,35430
52,35530,35530
53,35630,35630
54,35730,35730
55,35830,35830
56,35930,35930
57,36030,36030
58,36130,36130
59,36230,36230
60,36330,36330
61,36430,36430
62,36530,36530
63,36630,36630
64,36730,36730
65,36830,36830
66,36930,36930
67,37030,37030
68,37130,37130
69,37230,37230
70,37330,37330
71,37430,37430
72,37530,37530
73,37630,37630
74,37730,37730
75,37830,37830
76,37930,37930
77,38030,38030
78,38130,38130
79,38230,38230
80,38330,38330
81,38430,38430
82,38530,38530
83,38630,38630
84,38730,38730
85,38830,38830
86,38930,38930
87,39030,39030
88,39130,39130
89,39230,39230
90,39330,39330
91,39430,39430
92,39530,39530
93,39630,39630
94,39730,39730
95,39830,39830
96,39930,39930
97,40030,40030
98,40130,40130
99,40230,40230
100,40330,40330
101,40430,40430
102,40530,40530
103,40630,40630
104,40730,40730
105,40830,40830
106,40930,40930
107,41030,41030
108,41130,41130
109,41230,41230
110,41330,41330
111,41430,41430
112,41530,41530
113,41630,41630
114,41730,41730
115,41830,41830
116,41930,41930
117,42030,42030
118,42130,42130
119,42230,42230
120,42330,42330
121,42430,42430
122,42530,42530
123,42630,42630
124,42730,42730
125,42830,42830
126,42930,42930
127,43030,43030
128,43130,43130
129,43230,43230
130,43330,43330
131,43430,43430
132,43530,43530
133,43630,43630
134,43730,43730
135,43830,43830
136,43930,43930
137,44030,44030
138,44130,44130
139,44230,44230
140,44330,44330
141,44430,44430
142,44530,44530
143,44630,44630
144,44730,44730
145,44830,44830
146,44930,44930
147,45030,45030
148,45130,45130
149,45230,45230
150,45330,45330
151,45430,45430
152,45530,45530
153,45630,45630
154,45730,45730
155,45830,45830
156,45930,45930
157,46030,46030
158,46130,46130
159,46230,46230
160,46330,46330
161,46430,46430
162,46530,46530
163,46630,46630
164,46730,46730
165,46830,46830
166,46930,46930
167,47030,47030
168,47130,47130
169,47230,47230
170,47330,47330
171,47430,47430
172,47530,47530
173,47630,47630
174,47730,47730
175,47830,47830
176,47930,47930
177,48030,48030
178,48130,48130
179,48230,48230
180,48330,48330
181,48430,48430
182,48530,48530
183,48630,48630
184,48730,48730
185,48830,48830
186,48930,48930
187,49030,49030
188,49130,49130
189,49230,49230
190,49330,49330
191,49430,49430
192,49530,49530
193,49630,49630
194,49730,49730
195,49830,49830
196,49930,49930
197,50030,50030
198,50130,50130
199,50230,50230
200,50330,50330
201,50430,50430
